session_id,start_time,user_agent,screen_resolution,language,referrer,ip,city,region,country,country_code,latitude,longitude,timezone
session_1762449858897_iu8i2p8eo,2025-11-06T17:24:18.897Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0,1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1762450063385_8xxoodau5,2025-11-06T17:27:43.389Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1762470029731_e4g0auqr5,2025-11-06T23:00:29.733Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0,1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1762518752889_i24n8xxyt,2025-11-07T12:32:32.890Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:144.0) Gecko/20100101 Firefox/144.0,1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1763413724076_36wunofiw,2025-11-17T21:08:44.076Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1763434818055_6i8uvrqzq,2025-11-18T03:00:18.055Z,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,1280x720,pt-BR,,127.0.0.1,,,,,,,
session_1763584918381_dd342ak6k,2025-11-19T20:41:58.381Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763585009190_35nm5nj94,2025-11-19T20:43:29.190Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763585064247_vfn55gusz,2025-11-19T20:44:24.247Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763585473498_erwtka10s,2025-11-19T20:51:13.498Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763585767623_k1sv4lrgb,2025-11-19T20:56:07.623Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763601533828_uqtwmitsd,2025-11-20T01:18:53.828Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763603942677_1x9dex4n9,2025-11-20T01:59:02.677Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763644248865_p6lvjflgi,2025-11-20T13:10:48.865Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",1512x982,pt-BR,,127.0.0.1,,,,,,,
session_1763733374402_ygryjuhkq,2025-11-21T13:56:14.402Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.1 Safari/605.1.15",1512x982,pt-BR,,127.0.0.1,,,,,,,
